,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
0,1/1/2022,,,,,,,
1,1/2/2022,,,,,,,
2,1/3/2022,,,,,,,
3,1/4/2022,,,,,,,
4,1/5/2022,,,,,,,
5,1/6/2022,,,,,,,
6,1/7/2022,,,,,,,
7,1/8/2022,,,,,,,
8,1/9/2022,,,,,,,
9,1/10/2022,,,,,,,
10,1/11/2022,,,,,,,
11,1/12/2022,,,,,,,
12,1/13/2022,,,,,,,
13,1/14/2022,,,,,,,
14,1/15/2022,,,,,,,
15,1/16/2022,,,,,,,
16,1/17/2022,,,,,,,
17,1/18/2022,,,,,,,
18,1/19/2022,,,,R-51,RS,Actual,EVA
19,1/20/2022,,,,,,,
20,1/21/2022,,,,,,,
21,1/22/2022,,,,,,,
22,1/23/2022,SpX-24,N2 Zenith,Cargo Dragon,,,,Undock
23,1/24/2022,SpX-24,N2 Zenith,Cargo Dragon,,,,Landing
24,1/25/2022,,,,,,,
25,1/26/2022,,,,,,,
26,1/27/2022,,,,,,,
27,1/28/2022,,,,,,,
28,1/29/2022,,,,,,,
29,1/30/2022,,,,,,,
30,1/31/2022,,,,,,,
31,2/1/2022,,,,,,,
32,2/2/2022,,,,,,,
33,2/3/2022,,,,,,,
34,2/4/2022,,,,,,,
35,2/5/2022,,,,,,,
36,2/6/2022,,,,,,,
37,2/7/2022,,,,,,,
38,2/8/2022,,,,,,,
39,2/9/2022,,,,,,,
40,2/10/2022,,,,,,,
41,2/11/2022,,,,,,,
42,2/12/2022,,,,,,,
43,2/13/2022,,,,,,,
44,2/14/2022,,,,,,,
45,2/15/2022,80Progress,MRM2 / SM Zenith,Progress,,,,Launch
46,2/16/2022,,,,,,,
47,2/17/2022,80Progress,MRM2 / SM Zenith,Progress,,,,Dock
48,2/18/2022,,,,,,,
49,2/19/2022,NG-17,N1 Nadir,CRS2 Cygnus,,,,Launch
50,2/20/2022,,,,,,,
51,2/21/2022,NG-17,N1 Nadir,CRS2 Cygnus,,,,Dock
52,2/22/2022,,,,,,,
53,2/23/2022,,,,,,,
54,2/24/2022,,,,,,,
55,2/25/2022,,,,,,,
56,2/26/2022,,,,,,,
57,2/27/2022,,,,,,,
58,2/28/2022,,,,,,,
59,3/1/2022,,,,,,,
60,3/2/2022,,,,,,,
61,3/3/2022,,,,,,,
62,3/4/2022,,,,,,,
63,3/5/2022,,,,,,,
64,3/6/2022,,,,,,,
65,3/7/2022,,,,,,,
