,Report Date,Remain. Potable (liters),Remain. Technical (liters),Remain. Rodnik (liters)
0,1/3/2022,340.0,187.6,234
1,1/10/2022,362.0,222.3,146
2,1/19/2022,360.0,188.2,146
3,1/24/2022,358.0,152.7,146
4,1/31/2022,334.0,149.3,146
5,2/7/2022,354.0,193.3,24
6,2/14/2022,332.0,199.4,24
7,2/21/2022,484.0,255.71,444
8,2/28/2022,482.0,247.24,444
9,3/8/2022,456.0,174.5,444
10,3/14/2022,432.0,177.34,444
11,3/22/2022,362.0,170.3,444
12,3/28/2022,284.0,132.7,444
13,4/4/2022,284.0,132.7,444
14,4/11/2022,294.0,137.9,334
15,4/18/2022,240.0,96.2,334
16,4/25/2022,216.0,91.8,334
17,5/2/2022,148.0,84.28,334
18,5/10/2022,148.0,84.28,334
19,5/16/2022,146.0,61.93,90
20,5/23/2022,40.0,122.1,256
21,5/30/2022,40.0,122.1,256
22,6/6/2022,27.7,145.7,234
23,6/13/2022,220.0,124.25,234
24,6/20/2022,220.0,124.25,500
25,6/27/2022,150.0,244.1,368
26,7/4/2022,148.0,209.73,368
27,7/11/2022,148.0,209.73,368
28,7/18/2022,44.0,226.5,356
29,7/25/2022,44.0,218.99,356
30,8/1/2022,124.0,175.08,246
31,8/8/2022,124.0,175.08,246
32,8/15/2022,103.0,140.8,246
33,8/22/2022,100.0,116.15,246
34,8/29/2022,74.0,160.6,246
35,9/5/2022,94.0,191.72,202
36,9/12/2022,40.0,179.4,202
37,9/19/2022,42.0,160.8,158
38,9/26/2022,105.0,106.6,69
39,10/3/2022,59.0,155.88,69
40,10/10/2022,40.0,202.86,47
41,10/17/2022,35.0,192.5,47
42,10/24/2022,20.0,151.4,47
43,10/31/2022,128.0,234.13,423
44,11/7/2022,241.0,213.87,260
45,11/15/2022,215.0,179.4,260
46,11/21/2022,215.0,153.88,260
47,11/28/2022,142.0,123.6,260
48,12/5/2022,142.0,123.6,260
49,12/12/2022,136.0,271.16,84
50,12/19/2022,113.0,213.5,84
51,12/26/2022,113.0,213.5,84
52,1/2/2023,61.0,153.84,84
53,1/9/2023,56.0,228.9,84
54,1/16/2023,32.0,173.09,60
55,1/23/2023,52.0,164.4,35
56,1/30/2023,30.0,128.1,35
57,2/6/2023,44.0,112.5,35
58,2/13/2023,44.0,112.5,455
59,2/20/2023,298.0,248.44,443
60,2/27/2023,274.0,192.0,285
61,3/6/2023,274.0,193.0,285
62,3/13/2023,157.0,177.0,285
63,3/20/2023,132.0,147.87,285
64,3/27/2023,108.0,174.21,285
65,4/3/2023,84.0,193.01,285
66,4/10/2023,81.0,176.32,285
67,4/17/2023,81.0,176.32,285
68,4/24/2023,161.0,226.66,101
69,5/1/2023,159.0,221.35,101
70,5/8/2023,132.0,240.12,101
71,5/15/2023,108.0,201.04,101
72,5/22/2023,108.0,201.04,101
73,5/29/2023,227.0,222.45,521
74,6/5/2023,172.0,222.8,521
75,6/12/2023,168.0,207.6,443
76,6/19/2023,122.0,200.19,443
77,6/26/2023,96.0,164.4,443
78,7/3/2023,106.0,202.8,333
79,7/10/2023,82.0,177.11,333
80,7/17/2023,124.0,162.22,233
81,7/24/2023,58.0,174.0,233
82,7/31/2023,171.0,246.2,23
83,8/7/2023,169.0,220.6,23
84,8/14/2023,144.0,180.02,23
85,8/21/2023,118.0,168.7,23
86,8/28/2023,173.0,243.81,653
