,threshold_category,threshold_value,threshold_owner,units
0,ACY Insert,800.0,USOS,ACY Inserts
1,KTO,22.0,USOS,KTO
2,Pretreat Tanks,4.0,USOS,Pretreat Tanks
3,Filter Inserts,4.0,USOS,Filter Inserts
4,Urine Receptacle,4.0,USOS,Urine Receptacles
5,EDVs,21.0,USOS,EDVs
6,ACY Insert,239.0,RSOS,ACY Inserts
7,KTO,6.0,RSOS,KTO
8,Pretreat Tanks,1.0,RSOS,Pretreat Tanks
9,Filter Inserts,4.0,RSOS,Filter Inserts
10,Urine Receptacle,4.0,RSOS,Urine Receptacles
11,O2 (Oxygen),402.0,,lbs
12,N2 (Nitrogen),275.0,,lbs
13,Water Alert,1088.0,USOS,Liters
14,Water Critical,818.0,USOS,Liters
15,Food,160.0,USOS,BOB
16,Food,21.6,RSOS,BOB
